concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:OperatingLeaseLiabilityNoncurrent,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,15301000000,numeric,2,2,81
us-gaap:OtherLiabilitiesNoncurrent,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,7227000000,numeric,2,2,1013
us-gaap:OtherLiabilitiesNoncurrent,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,7764000000,numeric,2,2,1012
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,57809000000,numeric,2,2,60
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,79518000000,numeric,2,2,59
us-gaap:RestrictedCashAndCashEquivalents,i06807751a6bf401f8fda17ff0879680c_I20211231,,,2021-12-31,1,"[{""dimension"": ""us-gaap:BalanceSheetLocationAxis"", ""member"": ""us-gaap:OtherAssetsMember"", ""type"": ""explicitmember""}]",iso4217:USD,115000000,numeric,2,2,367
us-gaap:RestrictedCashAndCashEquivalents,i2eb54a88b3ad4d0196fad74c992619fd_I20211231,,,2021-12-31,1,"[{""dimension"": ""us-gaap:BalanceSheetLocationAxis"", ""member"": ""us-gaap:PrepaidExpensesAndOtherCurrentAssetsMember"", ""type"": ""explicitmember""}]",iso4217:USD,149000000,numeric,2,2,364
us-gaap:RestrictedCashAndCashEquivalents,i11aa6c383f664162ae4a5f5fa2c256df_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:BalanceSheetLocationAxis"", ""member"": ""us-gaap:PrepaidExpensesAndOtherCurrentAssetsMember"", ""type"": ""explicitmember""}]",iso4217:USD,294000000,numeric,2,2,363
us-gaap:RestrictedCashAndCashEquivalents,i1b07c3a0a6a54442bf24199373e679a6_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:BalanceSheetLocationAxis"", ""member"": ""us-gaap:OtherAssetsMember"", ""type"": ""explicitmember""}]",iso4217:USD,621000000,numeric,2,2,366
us-gaap:RestructuringCharges,i0014fb027d864f6aa2dbd8cf75aa9b42_D20220101-20221231,2022-01-01,2022-12-31,,1,"[{""dimension"": ""us-gaap:RestructuringCostAndReserveAxis"", ""member"": ""meta:DataCenterAssetsMember"", ""type"": ""explicitmember""}]",iso4217:USD,1340000000.00,numeric,2,2,418
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,ib15d3e73e4624287ba86da76ea8378e9_D20200101-20201231,2020-01-01,2020-12-31,,1,"[{""dimension"": ""us-gaap:StatementBusinessSegmentsAxis"", ""member"": ""meta:RealityLabsMember"", ""type"": ""explicitmember""}]",iso4217:USD,1139000000,numeric,2,2,1228
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,ie198b8aec8b749ac9e27f35225965227_D20200101-20201231,2020-01-01,2020-12-31,,1,"[{""dimension"": ""us-gaap:StatementBusinessSegmentsAxis"", ""member"": ""meta:FamilyOfAppsMember"", ""type"": ""explicitmember""}]",iso4217:USD,84826000000,numeric,2,2,1225
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i516dd68b3bb74e7fa479632c915cadf9_D20210101-20211231,2021-01-01,2021-12-31,,1,"[{""dimension"": ""us-gaap:StatementBusinessSegmentsAxis"", ""member"": ""meta:RealityLabsMember"", ""type"": ""explicitmember""}]",iso4217:USD,2274000000,numeric,2,2,1227
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,id8d8fb5ae9d74a41b2418ba83f4e59f3_D20210101-20211231,2021-01-01,2021-12-31,,1,"[{""dimension"": ""us-gaap:StatementBusinessSegmentsAxis"", ""member"": ""meta:FamilyOfAppsMember"", ""type"": ""explicitmember""}]",iso4217:USD,115655000000,numeric,2,2,1224
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i48a400bf05aa43c7856cf5276ae74a98_D20220101-20221231,2022-01-01,2022-12-31,,1,"[{""dimension"": ""us-gaap:StatementBusinessSegmentsAxis"", ""member"": ""meta:RealityLabsMember"", ""type"": ""explicitmember""}]",iso4217:USD,2159000000,numeric,2,2,1226
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i99516c72159e45e0820c88c458a4fd01_D20220101-20221231,2022-01-01,2022-12-31,,1,"[{""dimension"": ""us-gaap:StatementBusinessSegmentsAxis"", ""member"": ""meta:FamilyOfAppsMember"", ""type"": ""explicitmember""}]",iso4217:USD,114450000000,numeric,2,2,1223
us-gaap:StockholdersEquity,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,124879000000,numeric,2,2,114
us-gaap:StockholdersEquity,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,125713000000,numeric,2,2,113
us-gaap:UnrecognizedTaxBenefits,i79b1f291b4464366a3ae27427a952e8e_I20201231,,,2020-12-31,0,[],iso4217:USD,8692000000,numeric,2,2,1196
us-gaap:UnrecognizedTaxBenefits,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,9807000000,numeric,2,2,1195
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,i1ff557f8d83e410186db659bade567e1_D20200101-20201231,2020-01-01,2020-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",xbrli:shares,2407000000,numeric,2,2,518
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,i2063d5a947f04b499f3398b6aa7bb404_D20200101-20201231,2020-01-01,2020-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",xbrli:shares,444000000,numeric,2,2,519
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,i1fbc6a83f0b7453280a8339faa4e98fb_D20210101-20211231,2021-01-01,2021-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",xbrli:shares,432000000,numeric,2,2,517
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,i46de09af8b174ed18571c59a168042b3_D20210101-20211231,2021-01-01,2021-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",xbrli:shares,2383000000,numeric,2,2,516
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,i470c8b035c144cb98ded49fdcde291ec_D20220101-20221231,2022-01-01,2022-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",xbrli:shares,2285000000,numeric,2,2,514
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,i761b33558f524328b8c7268388196dbd_D20220101-20221231,2022-01-01,2022-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",xbrli:shares,402000000,numeric,2,2,515
